"NúmeroDoPedido";"CódigoDoCliente";"CódigoDoFuncionário";"DataDoPedido";"DataDeEntrega";"DataDeEnvio";"Via";"Frete";"NomeDoDestinatário";"EndereçoDoDestinatário";"CidadeDeDestino";"RegiãoDeDestino";"CEPdeDestino";"PaísDeDestino"
10638;"LINOD";3;20/8/1997 00:00:00;17/9/1997 00:00:00;1/9/1997 00:00:00;1;R$ 158,44;"LINO-Delicateses";"Ave. 5 de Mayo Porlamar";"I. de Margarita";"Nueva Esparta";"4980";"Venezuela"
10639;"SANTG";7;20/8/1997 00:00:00;17/9/1997 00:00:00;27/8/1997 00:00:00;3;R$ 38,64;"Santé Gourmet";"Erling Skakkes gate 78";"Stavern";;"4110";"Noruega"
10640;"WANDK";4;21/8/1997 00:00:00;18/9/1997 00:00:00;28/8/1997 00:00:00;1;R$ 23,55;"Die Wandernde Kuh";"Adenauerallee 900";"Stuttgart";;"70563";"Alemanha"
10641;"HILAA";4;22/8/1997 00:00:00;19/9/1997 00:00:00;26/8/1997 00:00:00;2;R$ 179,61;"HILARIÓN-Abastos";"Carrera 22 con Ave. Carlos Soublette #8-35";"San Cristóbal";"Táchira";"5022";"Venezuela"
10642;"SIMOB";7;22/8/1997 00:00:00;19/9/1997 00:00:00;5/9/1997 00:00:00;3;R$ 41,89;"Simons bistro";"Vinbæltet 34";"København";;"1734";"Dinamarca"
10643;"ALFKI";6;25/8/1997 00:00:00;22/9/1997 00:00:00;2/9/1997 00:00:00;1;R$ 29,46;"Alfreds Futterkiste";"Obere Str. 57";"Berlin";;"12209";"Alemanha"
10644;"WELLI";3;25/8/1997 00:00:00;22/9/1997 00:00:00;1/9/1997 00:00:00;2;R$ 0,14;"Wellington Importadora";"Rua do Mercado, 12";"Resende";"SP";"08737-363";"Brasil"
10645;"HANAR";4;26/8/1997 00:00:00;23/9/1997 00:00:00;2/9/1997 00:00:00;1;R$ 12,41;"Hanari Carnes";"Rua do Paço, 67";"Rio de Janeiro";"RJ";"05454-876";"Brasil"
10646;"HUNGO";9;27/8/1997 00:00:00;8/10/1997 00:00:00;3/9/1997 00:00:00;3;R$ 142,33;"Hungry Owl All-Night Grocers";"8 Johnstown Road";"Cork";"Co. Cork";;"Irlanda"
10647;"QUEDE";4;27/8/1997 00:00:00;10/9/1997 00:00:00;3/9/1997 00:00:00;2;R$ 45,54;"Que Delícia";"Rua da Panificadora, 12";"Rio de Janeiro";"RJ";"02389-673";"Brasil"
10648;"RICAR";5;28/8/1997 00:00:00;9/10/1997 00:00:00;9/9/1997 00:00:00;2;R$ 14,25;"Ricardo Adocicados";"Av. Copacabana, 267";"Rio de Janeiro";"RJ";"02389-890";"Brasil"
10649;"MAISD";5;28/8/1997 00:00:00;25/9/1997 00:00:00;29/8/1997 00:00:00;3;R$ 6,20;"Maison Dewey";"Rue Joseph-Bens 532";"Bruxelles";;"B-1180";"Bélgica"
10650;"FAMIA";5;29/8/1997 00:00:00;26/9/1997 00:00:00;3/9/1997 00:00:00;3;R$ 176,81;"Familia Arquibaldo";"Rua Orós, 92";"São Paulo";"SP";"05442-030";"Brasil"
10651;"WANDK";8;1/9/1997 00:00:00;29/9/1997 00:00:00;11/9/1997 00:00:00;2;R$ 20,60;"Die Wandernde Kuh";"Adenauerallee 900";"Stuttgart";;"70563";"Alemanha"
10652;"GOURL";4;1/9/1997 00:00:00;29/9/1997 00:00:00;8/9/1997 00:00:00;2;R$ 7,14;"Gourmet Lanchonetes";"Av. Brasil, 442";"Campinas";"SP";"04876-786";"Brasil"
10653;"FRANK";1;2/9/1997 00:00:00;30/9/1997 00:00:00;19/9/1997 00:00:00;1;R$ 93,25;"Frankenversand";"Berliner Platz 43";"München";;"80805";"Alemanha"
10654;"BERGS";5;2/9/1997 00:00:00;30/9/1997 00:00:00;11/9/1997 00:00:00;1;R$ 55,26;"Berglunds snabbköp";"Berguvsvägen  8";"Luleå";;"S-958 22";"Suécia"
10655;"REGGC";1;3/9/1997 00:00:00;1/10/1997 00:00:00;11/9/1997 00:00:00;2;R$ 4,41;"Reggiani Caseifici";"Strada Provinciale 124";"Reggio Emilia";;"42100";"Itália"
10656;"GREAL";6;4/9/1997 00:00:00;2/10/1997 00:00:00;10/9/1997 00:00:00;1;R$ 57,15;"Great Lakes Food Market";"2732 Baker Blvd.";"Eugene";"OR";"97403";"EUA"
10657;"SAVEA";2;4/9/1997 00:00:00;2/10/1997 00:00:00;15/9/1997 00:00:00;2;R$ 352,69;"Save-a-lot Markets";"187 Suffolk Ln.";"Boise";"ID";"83720";"EUA"
10658;"QUICK";4;5/9/1997 00:00:00;3/10/1997 00:00:00;8/9/1997 00:00:00;1;R$ 364,15;"QUICK-Stop";"Taucherstraße 10";"Cunewalde";;"01307";"Alemanha"
10659;"QUEEN";7;5/9/1997 00:00:00;3/10/1997 00:00:00;10/9/1997 00:00:00;2;R$ 105,81;"Queen Cozinha";"Alameda dos Canàrios, 891";"São Paulo";"SP";"05487-020";"Brasil"
10660;"HUNGC";8;8/9/1997 00:00:00;6/10/1997 00:00:00;15/10/1997 00:00:00;1;R$ 111,29;"Hungry Coyote Import Store";"City Center Plaza 516 Main St.";"Elgin";"OR";"97827";"EUA"
10661;"HUNGO";7;9/9/1997 00:00:00;7/10/1997 00:00:00;15/9/1997 00:00:00;3;R$ 17,55;"Hungry Owl All-Night Grocers";"8 Johnstown Road";"Cork";"Co. Cork";;"Irlanda"
10662;"LONEP";3;9/9/1997 00:00:00;7/10/1997 00:00:00;18/9/1997 00:00:00;2;R$ 1,28;"Lonesome Pine Restaurant";"89 Chiaroscuro Rd.";"Portland";"OR";"97219";"EUA"
10663;"BONAP";2;10/9/1997 00:00:00;24/9/1997 00:00:00;3/10/1997 00:00:00;2;R$ 113,15;"Bon app'";"12, rue des Bouchers";"Marseille";;"13008";"França"
10664;"FURIB";1;10/9/1997 00:00:00;8/10/1997 00:00:00;19/9/1997 00:00:00;3;R$ 1,27;"Furia Bacalhau e Frutos do Mar";"Jardim das rosas n. 32";"Lisboa";;"1675";"Portugal"
10665;"LONEP";1;11/9/1997 00:00:00;9/10/1997 00:00:00;17/9/1997 00:00:00;2;R$ 26,31;"Lonesome Pine Restaurant";"89 Chiaroscuro Rd.";"Portland";"OR";"97219";"EUA"
10666;"RICSU";7;12/9/1997 00:00:00;10/10/1997 00:00:00;22/9/1997 00:00:00;2;R$ 232,42;"Richter Supermarkt";"Starenweg 5";"Genève";;"1204";"Suíça"
10667;"ERNSH";7;12/9/1997 00:00:00;10/10/1997 00:00:00;19/9/1997 00:00:00;1;R$ 78,09;"Ernst Handel";"Kirchgasse 6";"Graz";;"8010";"Áustria"
10668;"WANDK";1;15/9/1997 00:00:00;13/10/1997 00:00:00;23/9/1997 00:00:00;2;R$ 47,22;"Die Wandernde Kuh";"Adenauerallee 900";"Stuttgart";;"70563";"Alemanha"
10669;"SIMOB";2;15/9/1997 00:00:00;13/10/1997 00:00:00;22/9/1997 00:00:00;1;R$ 24,39;"Simons bistro";"Vinbæltet 34";"København";;"1734";"Dinamarca"
10670;"FRANK";4;16/9/1997 00:00:00;14/10/1997 00:00:00;18/9/1997 00:00:00;1;R$ 203,48;"Frankenversand";"Berliner Platz 43";"München";;"80805";"Alemanha"
10671;"FRANR";1;17/9/1997 00:00:00;15/10/1997 00:00:00;24/9/1997 00:00:00;1;R$ 30,34;"France restauration";"54, rue Royale";"Nantes";;"44000";"França"
10672;"BERGS";9;17/9/1997 00:00:00;1/10/1997 00:00:00;26/9/1997 00:00:00;2;R$ 95,75;"Berglunds snabbköp";"Berguvsvägen  8";"Luleå";;"S-958 22";"Suécia"
10673;"WILMK";2;18/9/1997 00:00:00;16/10/1997 00:00:00;19/9/1997 00:00:00;1;R$ 22,76;"Wilman Kala";"Keskuskatu 45";"Helsinki";;"21240";"Finlândia"
10674;"ISLAT";4;18/9/1997 00:00:00;16/10/1997 00:00:00;30/9/1997 00:00:00;2;R$ 0,90;"Island Trading";"Garden House Crowther Way";"Cowes";"Isle of Wight";"PO31 7PJ";"Reino Unido"
10675;"FRANK";5;19/9/1997 00:00:00;17/10/1997 00:00:00;23/9/1997 00:00:00;2;R$ 31,85;"Frankenversand";"Berliner Platz 43";"München";;"80805";"Alemanha"
10676;"TORTU";2;22/9/1997 00:00:00;20/10/1997 00:00:00;29/9/1997 00:00:00;2;R$ 2,01;"Tortuga Restaurante";"Avda. Azteca 123";"México D.F.";;"05033";"México"
10677;"ANTON";1;22/9/1997 00:00:00;20/10/1997 00:00:00;26/9/1997 00:00:00;3;R$ 4,03;"Antonio Moreno Taquería";"Mataderos  2312";"México D.F.";;"05023";"México"
10678;"SAVEA";7;23/9/1997 00:00:00;21/10/1997 00:00:00;16/10/1997 00:00:00;3;R$ 388,98;"Save-a-lot Markets";"187 Suffolk Ln.";"Boise";"ID";"83720";"EUA"
10679;"BLONP";8;23/9/1997 00:00:00;21/10/1997 00:00:00;30/9/1997 00:00:00;3;R$ 27,94;"Blondel père et fils";"24, place Kléber";"Strasbourg";;"67000";"França"
10680;"OLDWO";1;24/9/1997 00:00:00;22/10/1997 00:00:00;26/9/1997 00:00:00;1;R$ 26,61;"Old World Delicatessen";"2743 Bering St.";"Anchorage";"AK";"99508";"EUA"
10681;"GREAL";3;25/9/1997 00:00:00;23/10/1997 00:00:00;30/9/1997 00:00:00;3;R$ 76,13;"Great Lakes Food Market";"2732 Baker Blvd.";"Eugene";"OR";"97403";"EUA"
10682;"ANTON";3;25/9/1997 00:00:00;23/10/1997 00:00:00;1/10/1997 00:00:00;2;R$ 36,13;"Antonio Moreno Taquería";"Mataderos  2312";"México D.F.";;"05023";"México"
10683;"DUMON";2;26/9/1997 00:00:00;24/10/1997 00:00:00;1/10/1997 00:00:00;1;R$ 4,40;"Du monde entier";"67, rue des Cinquante Otages";"Nantes";;"44000";"França"
10684;"OTTIK";3;26/9/1997 00:00:00;24/10/1997 00:00:00;30/9/1997 00:00:00;1;R$ 145,63;"Ottilies Käseladen";"Mehrheimerstr. 369";"Köln";;"50739";"Alemanha"
10685;"GOURL";4;29/9/1997 00:00:00;13/10/1997 00:00:00;3/10/1997 00:00:00;2;R$ 33,75;"Gourmet Lanchonetes";"Av. Brasil, 442";"Campinas";"SP";"04876-786";"Brasil"
10686;"PICCO";2;30/9/1997 00:00:00;28/10/1997 00:00:00;8/10/1997 00:00:00;1;R$ 96,50;"Piccolo und mehr";"Geislweg 14";"Salzburg";;"5020";"Áustria"
10687;"HUNGO";9;30/9/1997 00:00:00;28/10/1997 00:00:00;30/10/1997 00:00:00;2;R$ 296,43;"Hungry Owl All-Night Grocers";"8 Johnstown Road";"Cork";"Co. Cork";;"Irlanda"
10688;"VAFFE";4;1/10/1997 00:00:00;15/10/1997 00:00:00;7/10/1997 00:00:00;2;R$ 299,09;"Vaffeljernet";"Smagsløget 45";"Århus";;"8200";"Dinamarca"
10689;"BERGS";1;1/10/1997 00:00:00;29/10/1997 00:00:00;7/10/1997 00:00:00;2;R$ 13,42;"Berglunds snabbköp";"Berguvsvägen  8";"Luleå";;"S-958 22";"Suécia"
10690;"HANAR";1;2/10/1997 00:00:00;30/10/1997 00:00:00;3/10/1997 00:00:00;1;R$ 15,80;"Hanari Carnes";"Rua do Paço, 67";"Rio de Janeiro";"RJ";"05454-876";"Brasil"
10691;"QUICK";2;3/10/1997 00:00:00;14/11/1997 00:00:00;22/10/1997 00:00:00;2;R$ 810,05;"QUICK-Stop";"Taucherstraße 10";"Cunewalde";;"01307";"Alemanha"
10692;"ALFKI";4;3/10/1997 00:00:00;31/10/1997 00:00:00;13/10/1997 00:00:00;2;R$ 61,02;"Alfreds Futterkiste";"Obere Str. 57";"Berlin";;"12209";"Alemanha"
10693;"WHITC";3;6/10/1997 00:00:00;20/10/1997 00:00:00;10/10/1997 00:00:00;3;R$ 139,34;"White Clover Markets";"1029 - 12th Ave. S.";"Seattle";"WA";"98124";"EUA"
10694;"QUICK";8;6/10/1997 00:00:00;3/11/1997 00:00:00;9/10/1997 00:00:00;3;R$ 398,36;"QUICK-Stop";"Taucherstraße 10";"Cunewalde";;"01307";"Alemanha"
10695;"WILMK";7;7/10/1997 00:00:00;18/11/1997 00:00:00;14/10/1997 00:00:00;1;R$ 16,72;"Wilman Kala";"Keskuskatu 45";"Helsinki";;"21240";"Finlândia"
10696;"WHITC";8;8/10/1997 00:00:00;19/11/1997 00:00:00;14/10/1997 00:00:00;3;R$ 102,55;"White Clover Markets";"1029 - 12th Ave. S.";"Seattle";"WA";"98124";"EUA"
10697;"LINOD";3;8/10/1997 00:00:00;5/11/1997 00:00:00;14/10/1997 00:00:00;1;R$ 45,52;"LINO-Delicateses";"Ave. 5 de Mayo Porlamar";"I. de Margarita";"Nueva Esparta";"4980";"Venezuela"
10698;"ERNSH";4;9/10/1997 00:00:00;6/11/1997 00:00:00;17/10/1997 00:00:00;1;R$ 272,47;"Ernst Handel";"Kirchgasse 6";"Graz";;"8010";"Áustria"
10699;"MORGK";3;9/10/1997 00:00:00;6/11/1997 00:00:00;13/10/1997 00:00:00;3;R$ 0,58;"Morgenstern Gesundkost";"Heerstr. 22";"Leipzig";;"04179";"Alemanha"
10700;"SAVEA";3;10/10/1997 00:00:00;7/11/1997 00:00:00;16/10/1997 00:00:00;1;R$ 65,10;"Save-a-lot Markets";"187 Suffolk Ln.";"Boise";"ID";"83720";"EUA"
10701;"HUNGO";6;13/10/1997 00:00:00;27/10/1997 00:00:00;15/10/1997 00:00:00;3;R$ 220,31;"Hungry Owl All-Night Grocers";"8 Johnstown Road";"Cork";"Co. Cork";;"Irlanda"
10702;"ALFKI";4;13/10/1997 00:00:00;24/11/1997 00:00:00;21/10/1997 00:00:00;1;R$ 23,94;"Alfreds Futterkiste";"Obere Str. 57";"Berlin";;"12209";"Alemanha"
10703;"FOLKO";6;14/10/1997 00:00:00;11/11/1997 00:00:00;20/10/1997 00:00:00;2;R$ 152,30;"Folk och fä HB";"Åkergatan 24";"Bräcke";;"S-844 67";"Suécia"
10704;"QUEEN";6;14/10/1997 00:00:00;11/11/1997 00:00:00;7/11/1997 00:00:00;1;R$ 4,78;"Queen Cozinha";"Alameda dos Canàrios, 891";"São Paulo";"SP";"05487-020";"Brasil"
10705;"HILAA";9;15/10/1997 00:00:00;12/11/1997 00:00:00;18/11/1997 00:00:00;2;R$ 3,52;"HILARIÓN-Abastos";"Carrera 22 con Ave. Carlos Soublette #8-35";"San Cristóbal";"Táchira";"5022";"Venezuela"
10706;"OLDWO";8;16/10/1997 00:00:00;13/11/1997 00:00:00;21/10/1997 00:00:00;3;R$ 135,63;"Old World Delicatessen";"2743 Bering St.";"Anchorage";"AK";"99508";"EUA"
10707;"AROUT";4;16/10/1997 00:00:00;30/10/1997 00:00:00;23/10/1997 00:00:00;3;R$ 21,74;"Around the Horn";"Brook Farm Stratford St. Mary";"Colchester";"Essex";"CO7 6JX";"Reino Unido"
10708;"THEBI";6;17/10/1997 00:00:00;28/11/1997 00:00:00;5/11/1997 00:00:00;2;R$ 2,96;"The Big Cheese";"89 Jefferson Way Suite 2";"Portland";"OR";"97201";"EUA"
10709;"GOURL";1;17/10/1997 00:00:00;14/11/1997 00:00:00;20/11/1997 00:00:00;3;R$ 210,80;"Gourmet Lanchonetes";"Av. Brasil, 442";"Campinas";"SP";"04876-786";"Brasil"
10710;"FRANS";1;20/10/1997 00:00:00;17/11/1997 00:00:00;23/10/1997 00:00:00;1;R$ 4,98;"Franchi S.p.A.";"Via Monte Bianco 34";"Torino";;"10100";"Itália"
10711;"SAVEA";5;21/10/1997 00:00:00;2/12/1997 00:00:00;29/10/1997 00:00:00;2;R$ 52,41;"Save-a-lot Markets";"187 Suffolk Ln.";"Boise";"ID";"83720";"EUA"
10712;"HUNGO";3;21/10/1997 00:00:00;18/11/1997 00:00:00;31/10/1997 00:00:00;1;R$ 89,93;"Hungry Owl All-Night Grocers";"8 Johnstown Road";"Cork";"Co. Cork";;"Irlanda"
10713;"SAVEA";1;22/10/1997 00:00:00;19/11/1997 00:00:00;24/10/1997 00:00:00;1;R$ 167,05;"Save-a-lot Markets";"187 Suffolk Ln.";"Boise";"ID";"83720";"EUA"
10714;"SAVEA";5;22/10/1997 00:00:00;19/11/1997 00:00:00;27/10/1997 00:00:00;3;R$ 24,49;"Save-a-lot Markets";"187 Suffolk Ln.";"Boise";"ID";"83720";"EUA"
10715;"BONAP";3;23/10/1997 00:00:00;6/11/1997 00:00:00;29/10/1997 00:00:00;1;R$ 63,20;"Bon app'";"12, rue des Bouchers";"Marseille";;"13008";"França"
10716;"RANCH";4;24/10/1997 00:00:00;21/11/1997 00:00:00;27/10/1997 00:00:00;2;R$ 22,57;"Rancho grande";"Av. del Libertador 900";"Buenos Aires";;"1010";"Argentina"
10717;"FRANK";1;24/10/1997 00:00:00;21/11/1997 00:00:00;29/10/1997 00:00:00;2;R$ 59,25;"Frankenversand";"Berliner Platz 43";"München";;"80805";"Alemanha"
10718;"KOENE";1;27/10/1997 00:00:00;24/11/1997 00:00:00;29/10/1997 00:00:00;3;R$ 170,88;"Königlich Essen";"Maubelstr. 90";"Brandenburg";;"14776";"Alemanha"
10719;"LETSS";8;27/10/1997 00:00:00;24/11/1997 00:00:00;5/11/1997 00:00:00;2;R$ 51,44;"Let's Stop N Shop";"87 Polk St. Suite 5";"San Francisco";"CA";"94117";"EUA"
10720;"QUEDE";8;28/10/1997 00:00:00;11/11/1997 00:00:00;5/11/1997 00:00:00;2;R$ 9,53;"Que Delícia";"Rua da Panificadora, 12";"Rio de Janeiro";"RJ";"02389-673";"Brasil"
10721;"QUICK";5;29/10/1997 00:00:00;26/11/1997 00:00:00;31/10/1997 00:00:00;3;R$ 48,92;"QUICK-Stop";"Taucherstraße 10";"Cunewalde";;"01307";"Alemanha"
10722;"SAVEA";8;29/10/1997 00:00:00;10/12/1997 00:00:00;4/11/1997 00:00:00;1;R$ 74,58;"Save-a-lot Markets";"187 Suffolk Ln.";"Boise";"ID";"83720";"EUA"
10723;"WHITC";3;30/10/1997 00:00:00;27/11/1997 00:00:00;25/11/1997 00:00:00;1;R$ 21,72;"White Clover Markets";"1029 - 12th Ave. S.";"Seattle";"WA";"98124";"EUA"
10724;"MEREP";8;30/10/1997 00:00:00;11/12/1997 00:00:00;5/11/1997 00:00:00;2;R$ 57,75;"Mère Paillarde";"43 rue St. Laurent";"Montréal";"Québec";"H1J 1C3";"Canadá"
10725;"FAMIA";4;31/10/1997 00:00:00;28/11/1997 00:00:00;5/11/1997 00:00:00;3;R$ 10,83;"Familia Arquibaldo";"Rua Orós, 92";"São Paulo";"SP";"05442-030";"Brasil"
10726;"EASTC";4;3/11/1997 00:00:00;17/11/1997 00:00:00;5/12/1997 00:00:00;1;R$ 16,56;"Eastern Connection";"35 King George";"London";;"WX3 6FW";"Reino Unido"
10727;"REGGC";2;3/11/1997 00:00:00;1/12/1997 00:00:00;5/12/1997 00:00:00;1;R$ 89,90;"Reggiani Caseifici";"Strada Provinciale 124";"Reggio Emilia";;"42100";"Itália"
10728;"QUEEN";4;4/11/1997 00:00:00;2/12/1997 00:00:00;11/11/1997 00:00:00;2;R$ 58,33;"Queen Cozinha";"Alameda dos Canàrios, 891";"São Paulo";"SP";"05487-020";"Brasil"
10729;"LINOD";8;4/11/1997 00:00:00;16/12/1997 00:00:00;14/11/1997 00:00:00;3;R$ 141,06;"LINO-Delicateses";"Ave. 5 de Mayo Porlamar";"I. de Margarita";"Nueva Esparta";"4980";"Venezuela"
10730;"BONAP";5;5/11/1997 00:00:00;3/12/1997 00:00:00;14/11/1997 00:00:00;1;R$ 20,12;"Bon app'";"12, rue des Bouchers";"Marseille";;"13008";"França"
10731;"CHOPS";7;6/11/1997 00:00:00;4/12/1997 00:00:00;14/11/1997 00:00:00;1;R$ 96,65;"Chop-suey Chinese";"Hauptstr. 31";"Bern";;"3012";"Suíça"
10732;"BONAP";3;6/11/1997 00:00:00;4/12/1997 00:00:00;7/11/1997 00:00:00;1;R$ 16,97;"Bon app'";"12, rue des Bouchers";"Marseille";;"13008";"França"
10733;"BERGS";1;7/11/1997 00:00:00;5/12/1997 00:00:00;10/11/1997 00:00:00;3;R$ 110,11;"Berglunds snabbköp";"Berguvsvägen  8";"Luleå";;"S-958 22";"Suécia"
10734;"GOURL";2;7/11/1997 00:00:00;5/12/1997 00:00:00;12/11/1997 00:00:00;3;R$ 1,63;"Gourmet Lanchonetes";"Av. Brasil, 442";"Campinas";"SP";"04876-786";"Brasil"
10735;"LETSS";6;10/11/1997 00:00:00;8/12/1997 00:00:00;21/11/1997 00:00:00;2;R$ 45,97;"Let's Stop N Shop";"87 Polk St. Suite 5";"San Francisco";"CA";"94117";"EUA"
10736;"HUNGO";9;11/11/1997 00:00:00;9/12/1997 00:00:00;21/11/1997 00:00:00;2;R$ 44,10;"Hungry Owl All-Night Grocers";"8 Johnstown Road";"Cork";"Co. Cork";;"Irlanda"
10737;"VINET";2;11/11/1997 00:00:00;9/12/1997 00:00:00;18/11/1997 00:00:00;2;R$ 7,79;"Vins et alcools Chevalier";"59 rue de l'Abbaye";"Reims";;"51100";"França"
10738;"SPECD";2;12/11/1997 00:00:00;10/12/1997 00:00:00;18/11/1997 00:00:00;1;R$ 2,91;"Spécialités du monde";"25, rue Lauriston";"Paris";;"75016";"França"
10739;"VINET";3;12/11/1997 00:00:00;10/12/1997 00:00:00;17/11/1997 00:00:00;3;R$ 11,08;"Vins et alcools Chevalier";"59 rue de l'Abbaye";"Reims";;"51100";"França"
10740;"WHITC";4;13/11/1997 00:00:00;11/12/1997 00:00:00;25/11/1997 00:00:00;2;R$ 81,88;"White Clover Markets";"1029 - 12th Ave. S.";"Seattle";"WA";"98124";"EUA"
10741;"AROUT";4;14/11/1997 00:00:00;28/11/1997 00:00:00;18/11/1997 00:00:00;3;R$ 10,96;"Around the Horn";"Brook Farm Stratford St. Mary";"Colchester";"Essex";"CO7 6JX";"Reino Unido"
10742;"BOTTM";3;14/11/1997 00:00:00;12/12/1997 00:00:00;18/11/1997 00:00:00;3;R$ 243,73;"Bottom-Dollar Markets";"23 Tsawassen Blvd.";"Tsawassen";"BC";"T2F 8M4";"Canadá"
10743;"AROUT";1;17/11/1997 00:00:00;15/12/1997 00:00:00;21/11/1997 00:00:00;2;R$ 23,72;"Around the Horn";"Brook Farm Stratford St. Mary";"Colchester";"Essex";"CO7 6JX";"Reino Unido"
10744;"VAFFE";6;17/11/1997 00:00:00;15/12/1997 00:00:00;24/11/1997 00:00:00;1;R$ 69,19;"Vaffeljernet";"Smagsløget 45";"Århus";;"8200";"Dinamarca"
10745;"QUICK";9;18/11/1997 00:00:00;16/12/1997 00:00:00;27/11/1997 00:00:00;1;R$ 3,52;"QUICK-Stop";"Taucherstraße 10";"Cunewalde";;"01307";"Alemanha"
10746;"CHOPS";1;19/11/1997 00:00:00;17/12/1997 00:00:00;21/11/1997 00:00:00;3;R$ 31,43;"Chop-suey Chinese";"Hauptstr. 31";"Bern";;"3012";"Suíça"
10747;"PICCO";6;19/11/1997 00:00:00;17/12/1997 00:00:00;26/11/1997 00:00:00;1;R$ 117,33;"Piccolo und mehr";"Geislweg 14";"Salzburg";;"5020";"Áustria"
10748;"SAVEA";3;20/11/1997 00:00:00;18/12/1997 00:00:00;28/11/1997 00:00:00;1;R$ 232,55;"Save-a-lot Markets";"187 Suffolk Ln.";"Boise";"ID";"83720";"EUA"
10749;"ISLAT";4;20/11/1997 00:00:00;18/12/1997 00:00:00;19/12/1997 00:00:00;2;R$ 61,53;"Island Trading";"Garden House Crowther Way";"Cowes";"Isle of Wight";"PO31 7PJ";"Reino Unido"
10750;"WARTH";9;21/11/1997 00:00:00;19/12/1997 00:00:00;24/11/1997 00:00:00;1;R$ 79,30;"Wartian Herkku";"Torikatu 38";"Oulu";;"90110";"Finlândia"
10751;"RICSU";3;24/11/1997 00:00:00;22/12/1997 00:00:00;3/12/1997 00:00:00;3;R$ 130,79;"Richter Supermarkt";"Starenweg 5";"Genève";;"1204";"Suíça"
10752;"NORTS";2;24/11/1997 00:00:00;22/12/1997 00:00:00;28/11/1997 00:00:00;3;R$ 1,39;"North/South";"South House 300 Queensbridge";"London";;"SW7 1RZ";"Reino Unido"
10753;"FRANS";3;25/11/1997 00:00:00;23/12/1997 00:00:00;27/11/1997 00:00:00;1;R$ 7,70;"Franchi S.p.A.";"Via Monte Bianco 34";"Torino";;"10100";"Itália"
10754;"MAGAA";6;25/11/1997 00:00:00;23/12/1997 00:00:00;27/11/1997 00:00:00;3;R$ 2,38;"Magazzini Alimentari Riuniti";"Via Ludovico il Moro 22";"Bergamo";;"24100";"Itália"
10755;"BONAP";4;26/11/1997 00:00:00;24/12/1997 00:00:00;28/11/1997 00:00:00;2;R$ 16,71;"Bon app'";"12, rue des Bouchers";"Marseille";;"13008";"França"
10756;"SPLIR";8;27/11/1997 00:00:00;25/12/1997 00:00:00;2/12/1997 00:00:00;2;R$ 73,21;"Split Rail Beer & Ale";"P.O. Box 555";"Lander";"WY";"82520";"EUA"
10757;"SAVEA";6;27/11/1997 00:00:00;25/12/1997 00:00:00;15/12/1997 00:00:00;1;R$ 8,19;"Save-a-lot Markets";"187 Suffolk Ln.";"Boise";"ID";"83720";"EUA"
10758;"RICSU";3;28/11/1997 00:00:00;26/12/1997 00:00:00;4/12/1997 00:00:00;3;R$ 138,17;"Richter Supermarkt";"Starenweg 5";"Genève";;"1204";"Suíça"
10759;"ANATR";3;28/11/1997 00:00:00;26/12/1997 00:00:00;12/12/1997 00:00:00;3;R$ 11,99;"Ana Trujillo Emparedados y helados";"Avda. de la Constitución 2222";"México D.F.";;"05021";"México"
10760;"MAISD";4;1/12/1997 00:00:00;29/12/1997 00:00:00;10/12/1997 00:00:00;1;R$ 155,64;"Maison Dewey";"Rue Joseph-Bens 532";"Bruxelles";;"B-1180";"Bélgica"
10761;"RATTC";5;2/12/1997 00:00:00;30/12/1997 00:00:00;8/12/1997 00:00:00;2;R$ 18,66;"Rattlesnake Canyon Grocery";"2817 Milton Dr.";"Albuquerque";"NM";"87110";"EUA"
10762;"FOLKO";3;2/12/1997 00:00:00;30/12/1997 00:00:00;9/12/1997 00:00:00;1;R$ 328,74;"Folk och fä HB";"Åkergatan 24";"Bräcke";;"S-844 67";"Suécia"
10763;"FOLIG";3;3/12/1997 00:00:00;31/12/1997 00:00:00;8/12/1997 00:00:00;3;R$ 37,35;"Folies gourmandes";"184, chaussée de Tournai";"Lille";;"59000";"França"
10764;"ERNSH";6;3/12/1997 00:00:00;31/12/1997 00:00:00;8/12/1997 00:00:00;3;R$ 145,45;"Ernst Handel";"Kirchgasse 6";"Graz";;"8010";"Áustria"
10765;"QUICK";3;4/12/1997 00:00:00;1/1/1998 00:00:00;9/12/1997 00:00:00;3;R$ 42,74;"QUICK-Stop";"Taucherstraße 10";"Cunewalde";;"01307";"Alemanha"
10766;"OTTIK";4;5/12/1997 00:00:00;2/1/1998 00:00:00;9/12/1997 00:00:00;1;R$ 157,55;"Ottilies Käseladen";"Mehrheimerstr. 369";"Köln";;"50739";"Alemanha"
10767;"SUPRD";4;5/12/1997 00:00:00;2/1/1998 00:00:00;15/12/1997 00:00:00;3;R$ 1,59;"Suprêmes délices";"Boulevard Tirou, 255";"Charleroi";;"B-6000";"Bélgica"
10768;"AROUT";3;8/12/1997 00:00:00;5/1/1998 00:00:00;15/12/1997 00:00:00;2;R$ 146,32;"Around the Horn";"Brook Farm Stratford St. Mary";"Colchester";"Essex";"CO7 6JX";"Reino Unido"
10769;"VAFFE";3;8/12/1997 00:00:00;5/1/1998 00:00:00;12/12/1997 00:00:00;1;R$ 65,06;"Vaffeljernet";"Smagsløget 45";"Århus";;"8200";"Dinamarca"
